2025/04/30 12:41:13 [error] 38508#55308: *41 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "vinculacion.local"
2025/04/30 12:41:13 [error] 38508#55308: *41 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "vinculacion.local"
2025/04/30 12:44:11 [error] 60012#60080: *94 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "vinculacion.local", referrer: "http://vinculacion.local/wp-admin/"
2025/04/30 12:56:32 [error] 57660#59480: *339 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /hello-world/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "vinculacion.local", referrer: "http://vinculacion.local/wp-admin/post.php?post=1&action=edit"
2025/04/30 12:56:32 [error] 57660#59480: *321 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "vinculacion.local", referrer: "http://vinculacion.local/wp-admin/post.php?post=1&action=edit"
2025/04/30 12:56:32 [error] 57660#59480: *348 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "vinculacion.local", referrer: "http://vinculacion.local/wp-admin/edit.php?post_type=post"
2025/04/30 12:56:32 [error] 57660#59480: *344 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "vinculacion.local", referrer: "http://vinculacion.local/wp-admin/edit.php?post_type=post"
2025/04/30 12:56:32 [error] 57660#59480: *341 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "vinculacion.local", referrer: "http://vinculacion.local/wp-admin/edit.php?post_type=post"
2025/04/30 12:56:32 [error] 57660#59480: *341 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "vinculacion.local", referrer: "http://vinculacion.local/wp-admin/edit.php?post_type=post"
2025/04/30 12:56:32 [error] 57660#59480: *346 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=post HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "vinculacion.local", referrer: "http://vinculacion.local/wp-admin/post.php?post=1&action=edit"
2025/04/30 12:56:32 [error] 57660#59480: *346 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=post HTTP/1.1", upstream: "fastcgi://php", host: "vinculacion.local", referrer: "http://vinculacion.local/wp-admin/post.php?post=1&action=edit"
2025/04/30 12:56:32 [error] 57660#59480: *339 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /hello-world/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "vinculacion.local", referrer: "http://vinculacion.local/wp-admin/post.php?post=1&action=edit"
2025/04/30 12:56:32 [error] 57660#59480: *336 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "vinculacion.local", referrer: "http://vinculacion.local/wp-admin/edit.php?post_type=post"
